app_proto,network_port,network_proto,proto,network_description,network_reference,network_known_unauthorized_use,network_notes
nntp,119,tcp,6,Network News Transfer Protocol,[RFC3977],,
nntp,119,udp,17,Network News Transfer Protocol,[RFC3977],,
cfdptkt,120,tcp,6,CFDPTKT,,,
cfdptkt,120,udp,17,CFDPTKT,,,
erpc,121,tcp,6,Encore Expedited Remote Pro.Call,,,
erpc,121,udp,17,Encore Expedited Remote Pro.Call,,,
smakynet,122,tcp,6,SMAKYNET,,,
smakynet,122,udp,17,SMAKYNET,,,
ntp,123,tcp,6,Network Time Protocol,[RFC5905],,
ntp,123,udp,17,Network Time Protocol,[RFC5905],,
ansatrader,124,tcp,6,ANSA REX Trader,,,
ansatrader,124,udp,17,ANSA REX Trader,,,
locus-map,125,tcp,6,Locus PC-Interface Net Map Ser,,,
locus-map,125,udp,17,Locus PC-Interface Net Map Ser,,,
nxedit,126,tcp,6,NXEdit,,,"Port 126 Previously assigned to application below
unitary         126/tcp    Unisys Unitary Login
unitary         126/udp    Unisys Unitary Login
<feil&kronos.nisd.cam.unisys.com>
Port 126 Previously assigned to application above"
nxedit,126,udp,17,NXEdit,,,"Port 126 Previously assigned to application below
unitary         126/tcp    Unisys Unitary Login
unitary         126/udp    Unisys Unitary Login
<feil&kronos.nisd.cam.unisys.com>
Port 126 Previously assigned to application above"
locus-con,127,tcp,6,Locus PC-Interface Conn Server,,,
locus-con,127,udp,17,Locus PC-Interface Conn Server,,,
gss-xlicen,128,tcp,6,GSS X License Verification,,,
gss-xlicen,128,udp,17,GSS X License Verification,,,
pwdgen,129,tcp,6,Password Generator Protocol,,,
pwdgen,129,udp,17,Password Generator Protocol,,,
cisco-fna,130,tcp,6,cisco FNATIVE,,,
cisco-fna,130,udp,17,cisco FNATIVE,,,
cisco-tna,131,tcp,6,cisco TNATIVE,,,
cisco-tna,131,udp,17,cisco TNATIVE,,,
cisco-sys,132,tcp,6,cisco SYSMAINT,,,
cisco-sys,132,udp,17,cisco SYSMAINT,,,
statsrv,133,tcp,6,Statistics Service,,,
statsrv,133,udp,17,Statistics Service,,,
ingres-net,134,tcp,6,INGRES-NET Service,,,
ingres-net,134,udp,17,INGRES-NET Service,,,
epmap,135,tcp,6,DCE endpoint resolution,,,
epmap,135,udp,17,DCE endpoint resolution,,,
profile,136,tcp,6,PROFILE Naming System,,,
profile,136,udp,17,PROFILE Naming System,,,
netbios-ns,137,tcp,6,NETBIOS Name Service,,,
netbios-ns,137,udp,17,NETBIOS Name Service,,,
netbios-dgm,138,tcp,6,NETBIOS Datagram Service,,,
netbios-dgm,138,udp,17,NETBIOS Datagram Service,,,
netbios-ssn,139,tcp,6,NETBIOS Session Service,,,
netbios-ssn,139,udp,17,NETBIOS Session Service,,,
emfis-data,140,tcp,6,EMFIS Data Service,,,
emfis-data,140,udp,17,EMFIS Data Service,,,
emfis-cntl,141,tcp,6,EMFIS Control Service,,,
emfis-cntl,141,udp,17,EMFIS Control Service,,,
bl-idm,142,tcp,6,Britton-Lee IDM,,,
bl-idm,142,udp,17,Britton-Lee IDM,,,
imap,143,tcp,6,Internet Message Access Protocol,[RFC3501],,
imap,143,udp,17,Internet Message Access Protocol,[RFC3501],,
uma,144,tcp,6,Universal Management Architecture,,,
uma,144,udp,17,Universal Management Architecture,,,
uaac,145,tcp,6,UAAC Protocol,,,
uaac,145,udp,17,UAAC Protocol,,,
iso-tp0,146,tcp,6,ISO-IP0,,,
iso-tp0,146,udp,17,ISO-IP0,,,
iso-ip,147,tcp,6,ISO-IP,,,
iso-ip,147,udp,17,ISO-IP,,,
jargon,148,tcp,6,Jargon,,,
jargon,148,udp,17,Jargon,,,
aed-512,149,tcp,6,AED 512 Emulation Service,,,
aed-512,149,udp,17,AED 512 Emulation Service,,,
sql-net,150,tcp,6,SQL-NET,,,
sql-net,150,udp,17,SQL-NET,,,
hems,151,tcp,6,HEMS,,,
hems,151,udp,17,HEMS,,,
bftp,152,tcp,6,Background File Transfer Program,,,
bftp,152,udp,17,Background File Transfer Program,,,
sgmp,153,tcp,6,SGMP,,,
sgmp,153,udp,17,SGMP,,,
netsc-prod,154,tcp,6,NETSC,,,
netsc-prod,154,udp,17,NETSC,,,
netsc-dev,155,tcp,6,NETSC,,,
netsc-dev,155,udp,17,NETSC,,,
sqlsrv,156,tcp,6,SQL Service,,,
sqlsrv,156,udp,17,SQL Service,,,
knet-cmp,157,tcp,6,KNET/VM Command/Message Protocol,,,
knet-cmp,157,udp,17,KNET/VM Command/Message Protocol,,,
pcmail-srv,158,tcp,6,PCMail Server,,,
pcmail-srv,158,udp,17,PCMail Server,,,
nss-routing,159,tcp,6,NSS-Routing,,,
nss-routing,159,udp,17,NSS-Routing,,,
sgmp-traps,160,tcp,6,SGMP-TRAPS,,,
sgmp-traps,160,udp,17,SGMP-TRAPS,,,
snmp,161,tcp,6,SNMP,,,
snmp,161,udp,17,SNMP,,,
snmptrap,162,tcp,6,SNMPTRAP,,,
snmptrap,162,udp,17,SNMPTRAP,,,
cmip-man,163,tcp,6,CMIP/TCP Manager,,,
cmip-man,163,udp,17,CMIP/TCP Manager,,,
cmip-agent,164,tcp,6,CMIP/TCP Agent,,,
cmip-agent,164,udp,17,CMIP/TCP Agent,,,
xns-courier,165,tcp,6,Xerox,,,
xns-courier,165,udp,17,Xerox,,,
s-net,166,tcp,6,Sirius Systems,,,
s-net,166,udp,17,Sirius Systems,,,
namp,167,tcp,6,NAMP,,,
namp,167,udp,17,NAMP,,,
rsvd,168,tcp,6,RSVD,,,
rsvd,168,udp,17,RSVD,,,
send,169,tcp,6,SEND,,,
send,169,udp,17,SEND,,,
print-srv,170,tcp,6,Network PostScript,,,
print-srv,170,udp,17,Network PostScript,,,
multiplex,171,tcp,6,Network Innovations Multiplex,,,
multiplex,171,udp,17,Network Innovations Multiplex,,,
cl-1,172,tcp,6,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1"".",,,
cl/1,172,tcp,6,Network Innovations CL/1,,,"This entry is an alias to ""cl-1"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
cl-1,172,udp,17,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1"".",,,
cl/1,172,udp,17,Network Innovations CL/1,,,"This entry is an alias to ""cl-1"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
xyplex-mux,173,tcp,6,Xyplex,,,
xyplex-mux,173,udp,17,Xyplex,,,
mailq,174,tcp,6,MAILQ,,,
mailq,174,udp,17,MAILQ,,,
vmnet,175,tcp,6,VMNET,,,
vmnet,175,udp,17,VMNET,,,
genrad-mux,176,tcp,6,GENRAD-MUX,,,
genrad-mux,176,udp,17,GENRAD-MUX,,,
xdmcp,177,tcp,6,X Display Manager Control Protocol,,,
xdmcp,177,udp,17,X Display Manager Control Protocol,,,
nextstep,178,tcp,6,NextStep Window Server,,,
nextstep,178,udp,17,NextStep Window Server,,,
bgp,179,tcp,6,Border Gateway Protocol,,,
bgp,179,udp,17,Border Gateway Protocol,,,
bgp,179,sctp,132,BGP,[RFC4960],,
ris,180,tcp,6,Intergraph,,,
ris,180,udp,17,Intergraph,,,
unify,181,tcp,6,Unify,,,
unify,181,udp,17,Unify,,,
audit,182,tcp,6,Unisys Audit SITP,,,
audit,182,udp,17,Unisys Audit SITP,,,
ocbinder,183,tcp,6,OCBinder,,,
ocbinder,183,udp,17,OCBinder,,,
ocserver,184,tcp,6,OCServer,,,
ocserver,184,udp,17,OCServer,,,
remote-kis,185,tcp,6,Remote-KIS,,,
remote-kis,185,udp,17,Remote-KIS,,,
kis,186,tcp,6,KIS Protocol,,,
kis,186,udp,17,KIS Protocol,,,
aci,187,tcp,6,Application Communication Interface,,,
aci,187,udp,17,Application Communication Interface,,,
mumps,188,tcp,6,Plus Five's MUMPS,,,
mumps,188,udp,17,Plus Five's MUMPS,,,
qft,189,tcp,6,Queued File Transport,,,
